Max,Min,Mean,SD,Kurtosis,Skewness,RMS,Class
2.391347555,-2.435619685,0.002406323,0.853965248,-0.727111397,0.012885771,0.853935909,Healthy Bearing
2.131225651,-2.617602999,-0.001885172,0.857962412,-0.749713445,0.031900832,0.857936254,Healthy Bearing
2.131541975,-2.447213642,-0.000241955,0.825472812,-0.821346432,0.01275316,0.825504492,Healthy Bearing
1.998496884,-2.457087165,-0.000275237,0.843811046,-0.700225896,-0.04078581,0.843791961,Healthy Bearing
2.146785014,-2.43543268,0.0006877,0.839896723,-0.714743944,-0.010341056,0.839898776,Healthy Bearing
2.384251737,-3.528122283,0.00268297,0.818972605,-0.778184151,0.010141564,0.818945983,Healthy Bearing
2.098163468,-2.446844476,-0.001105277,0.837543251,-0.716427582,-0.010507792,0.837511892,Healthy Bearing
3.670829787,-9.858907447,0.000482543,0.840918486,0.0476212,-0.063224033,0.840929383,Healthy Bearing
1.698637776,-1.811014958,-0.001388875,0.725976343,-1.148509402,0.099795886,0.725953806,Healthy Bearing
1.672850083,-1.721166422,2.87E-06,0.744871817,-1.168259503,0.16449043,0.744848142,Healthy Bearing
1.596718662,-1.723437078,8.29E-05,0.744966791,-1.18072899,0.177433923,0.744943154,Healthy Bearing
2.716881583,-2.500870873,-0.00042816,0.746352223,-1.020568051,0.112069667,0.746327056,Healthy Bearing
1.666986003,-1.817868814,0.004032838,0.741554659,-1.12812216,0.16387804,0.741549466,Healthy Bearing
1.764199589,-1.934601213,-0.002661943,0.738014084,-1.111254609,0.136640723,0.737992145,Healthy Bearing
2.823466055,-3.133454331,-0.001552761,0.863677285,-0.620461768,0.116435335,0.86364859,Healthy Bearing
2.172935748,-2.463655925,0.000322871,0.78010915,-0.921900046,0.147538474,0.780094116,Healthy Bearing
2.167787993,-2.275884187,0.002622205,0.782965493,-0.9290306,0.132305744,0.782950359,Healthy Bearing
2.68569033,-2.167391135,-0.000120558,0.810460052,-0.93709693,0.191602404,0.810441254,Healthy Bearing
1.862323028,-2.00736441,-0.002075684,0.771057982,-1.043979404,0.202384809,0.771055834,Healthy Bearing
1.956360164,-1.913381276,0.001374157,0.778734323,-1.058677263,0.214048897,0.778719304,Healthy Bearing
1.781755814,-1.879042855,0.000590303,0.7711346,-1.115403211,0.228806295,0.771119727,Healthy Bearing
2.231248507,-3.035800567,0.001569717,0.732689609,-1.110570874,0.183830126,0.732675508,Healthy Bearing
1.58993407,-1.781830828,-0.008939285,0.722429519,-1.113342625,0.182814102,0.722401792,Healthy Bearing
1.91233575,-1.952425245,0.002003188,0.739739787,-1.100855039,0.221737825,0.739713288,Healthy Bearing
1.501643816,-1.744821033,0.001685527,0.720350702,-1.156987962,0.230354757,0.720351325,Healthy Bearing
1.539169899,-1.716241607,-0.002103955,0.72041278,-1.163259989,0.206817195,0.720389571,Healthy Bearing
2.102862654,-2.021925631,0.00088664,0.727034907,-1.024563616,0.104095129,0.727030893,Healthy Bearing
1.520144865,-1.792223886,-0.000673764,0.704868184,-1.116933794,0.123435397,0.704854605,Healthy Bearing
1.598646227,-1.841585573,0.000447774,0.735429237,-1.143869627,0.170666005,0.735402082,Healthy Bearing
1.844807289,-1.830758788,0.00675091,0.714430804,-0.988514871,0.084189622,0.714425322,Healthy Bearing
1.516910225,-1.747170181,-0.001758673,0.705897322,-1.035237021,0.077176884,0.705870727,Healthy Bearing
1.527998689,-1.825340149,-0.000221666,0.710209391,-1.055236791,0.105578103,0.71018253,Healthy Bearing
1.832386352,-1.870674752,-0.000783614,0.737389806,-1.03361661,0.132705771,0.737361539,Healthy Bearing
1.683445528,-1.770543382,0.000586141,0.722362325,-1.067053045,0.138224297,0.722348395,Healthy Bearing
1.696593892,-1.840182531,-0.00798882,0.729044935,-1.066907294,0.145243367,0.72903089,Healthy Bearing
2.049467982,-2.06861931,0.004736742,0.760136787,-0.994359942,0.193881684,0.760109802,Healthy Bearing
1.867227367,-1.804595301,-0.00046191,0.749384708,-1.047981425,0.17325719,0.749358647,Healthy Bearing
2.248912123,-4.943207714,0.003360978,0.74381601,-0.954272327,0.142375389,0.743821074,Healthy Bearing
2.050617416,-2.058168928,0.001300725,0.82309151,-1.00099453,0.247314139,0.823075688,Faulty Bearing
2.056721257,-2.054036094,0.000662359,0.805817921,-0.984294569,0.206002186,0.805802432,Faulty Bearing
1.927921072,-2.090569958,0.001529957,0.797112313,-1.034044761,0.206708764,0.797096991,Faulty Bearing
